Ref,Val,Package,PosX,PosY,Rot,Side
"D1","KPHBM-2012SURKCGKC","KPHBM-2012SURKCGKC",-11.130000,-0.733500,270.000000,bottom
"J1","SIM_JACKET","molex78646-3001",-3.951080,-0.182540,270.000000,bottom
"J2","USB_A","USB-A-PLUG",15.260000,0.446500,0.000000,bottom
"C1","4.7pF","C_0402_1005Metric",-9.400000,1.296500,180.000000,top
"C2","4.7pF","C_0402_1005Metric",-9.650000,0.046500,180.000000,top
"C3","0.1uF","C_0402_1005Metric",-9.500000,-0.953500,180.000000,top
"C4","0.1uF","C_0402_1005Metric",-9.570000,-2.163500,180.000000,top
"C5","0.1uF","C_0402_1005Metric",-7.800000,6.646500,180.000000,top
"C6","0.1uF","C_0402_1005Metric",-5.490000,4.966500,0.000000,top
"C7","0.1uF","C_0402_1005Metric",0.940000,-5.133500,180.000000,top
"C8","0.1uF","C_0402_1005Metric",1.290000,3.646500,180.000000,top
"C9","4.7uF","C_0402_1005Metric",1.280000,4.616500,0.000000,top
"C11","4.7uF","C_0402_1005Metric",2.690000,5.316500,270.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",1.835000,-6.778500,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",-11.200000,7.046500,180.000000,top
"R1","499R","R_0402_1005Metric",-7.510000,-5.353500,0.000000,top
"R2","499R","R_0402_1005Metric",-7.510000,-6.353500,0.000000,top
"R3","10k","R_0402_1005Metric",-2.400000,-6.353500,180.000000,top
"R4","10k","R_0402_1005Metric",-7.000000,4.046500,270.000000,top
"R5","22","R_0402_1005Metric",3.540000,0.786500,0.000000,top
"R6","22","R_0402_1005Metric",3.530000,1.796500,0.000000,top
"R7","1.5k","R_0402_1005Metric",3.100000,-3.413500,180.000000,top
"U1","GD32F103CBT6","LQFP-48_7x7mm_P0.5mm",-3.300000,-0.703500,0.000000,top
"U2","AP7340-33FS4-7","Texas_X2SON-4_1x1mm_P0.65mm",1.135000,6.166500,90.000000,top
"U3","DF5A5.6JE","SOT-553",3.520000,-1.683500,90.000000,top
"Y1","8Z-12.000MAAJ-T","Crystal_SMD_2520-4Pin_2.5x2.0mm",-9.150000,4.246500,90.000000,top
